L2 error at time T = 5.00 for method 1: 	 0.000001946742808	L2 error at time T = 5.00 for method 2: 	 0.000012795775160
Call option error at time T = 5.00 for method 1: 0.000000004799253	Call option error at time T = 5.00 for method 2: 0.000005667067169
Call option value computed at time T = 5.00: 	 0.025227768611149

Number of steps: 		100
Number of sample paths: 	100000
Time taken in speed test: 	5.0972819000

Example sample path for first method

t			y_t
0.000000000000000	0.060000000000000
0.050000000000000	0.052380103466249
0.100000000000000	0.052386330875153
0.150000000000000	0.049047840590631
0.200000000000000	0.043530048043526
0.250000000000000	0.038358099527372
0.300000000000000	0.033377478722735
0.350000000000000	0.026556926374951
0.400000000000000	0.023206970489996
0.450000000000000	0.025754698082631
0.500000000000000	0.022616012267551
0.550000000000000	0.018119435080603
0.600000000000000	0.014649764139046
0.650000000000000	0.012212818194235
0.700000000000000	0.014281633085663
0.750000000000000	0.015441084992339
0.800000000000000	0.012179990445500
0.850000000000000	0.010462620577266
0.900000000000000	0.009397609762559
0.950000000000000	0.009420147576973
1.000000000000000	0.009495163002783
1.050000000000000	0.008895765873012
1.100000000000000	0.007902504878653
1.150000000000000	0.009234626102505
1.200000000000000	0.007806903186530
1.250000000000000	0.006581946591272
1.300000000000000	0.009353704865157
1.350000000000000	0.008674039268846
1.400000000000000	0.008645085429036
1.450000000000000	0.008199638205646
1.500000000000000	0.010038493304732
1.550000000000000	0.009375791769694
1.600000000000000	0.009865627081598
1.650000000000000	0.010275549831370
1.700000000000000	0.010014353133847
1.750000000000000	0.012337324382675
1.800000000000000	0.015720461859055
1.850000000000000	0.015007112464145
1.900000000000000	0.016283924582169
1.950000000000000	0.017327329451526
2.000000000000000	0.016994855966099
2.050000000000000	0.016138329570318
2.100000000000000	0.013102980393762
2.150000000000000	0.012541397594750
2.200000000000000	0.012316136643275
2.250000000000000	0.014153221176069
2.300000000000000	0.015758105281491
2.350000000000000	0.014388378914387
2.400000000000000	0.012997298887069
2.450000000000000	0.013468130185032
2.500000000000000	0.015397494332363
2.550000000000000	0.018849577381911
2.600000000000000	0.018665644484411
2.650000000000000	0.017551570552555
2.700000000000000	0.017378375073355
2.750000000000000	0.020047650137037
2.800000000000000	0.018549389638378
2.850000000000000	0.015943455873091
2.900000000000000	0.015615637847101
2.950000000000000	0.018254749679355
3.000000000000000	0.013240410091782
3.050000000000000	0.015783932575507
3.100000000000000	0.014501632845773
3.150000000000000	0.017256368731176
3.200000000000000	0.017445990666597
3.250000000000000	0.018194040950875
3.300000000000000	0.020078038762170
3.350000000000000	0.025728555129421
3.400000000000000	0.021184447914123
3.450000000000000	0.021008018976270
3.500000000000000	0.020293173136527
3.550000000000000	0.018351809825604
3.600000000000000	0.017729093073387
3.650000000000000	0.019353673162414
3.700000000000000	0.019172028351965
3.750000000000000	0.015743356781041
3.800000000000000	0.015944510619107
3.850000000000000	0.014999694608264
3.900000000000000	0.015188045042980
3.950000000000000	0.015966592527558
4.000000000000000	0.016616987610524
4.050000000000000	0.016921188983447
4.100000000000001	0.019502141443442
4.150000000000000	0.017650677789143
4.200000000000000	0.020649736209014
4.250000000000000	0.019116818415016
4.300000000000000	0.020533440178278
4.350000000000001	0.024048686526697
4.400000000000000	0.027076293167656
4.450000000000000	0.023957977337141
4.500000000000000	0.023153782670344
4.550000000000000	0.028118385115280
4.600000000000001	0.020786142529139
4.650000000000000	0.026185942422795
4.700000000000000	0.023878552096689
4.750000000000000	0.020101135913625
4.800000000000001	0.020797706374289
4.850000000000001	0.022793162628984
4.900000000000000	0.021477993482299
4.950000000000000	0.019444368136183
5.000000000000000	0.022095728007892
